Scaffold	start	stop	strand	Protein ID	Blast
Scaffold_3	48655309	48655718	+	ANN04721-RA	Protein of unknown function
Scaffold_3	48655745	48658442	+	ANN04722-RA	Similar to Tmcc1: Transmembrane and coiled-coil domains protein 1 (Mus musculus OX%3D10090)
Scaffold_3	48669983	48673297	-	ANN04723-RA	Similar to CAM: Calmodulin (Paramecium tetraurelia OX%3D5888)
Scaffold_3	48840190	48846981	-	ANN04724-RA	Similar to X-element\ORF2: Probable RNA-directed DNA polymerase from transposon X-element (Drosophila melanogaster OX%3D7227)
Scaffold_3	48942549	48949707	+	ANN04725-RA	Similar to fl(2)d: Pre-mRNA-splicing regulator female-lethal(2)D (Drosophila melanogaster OX%3D7227)
Scaffold_3	48960210	48960710	+	ANN04726-RA	Protein of unknown function
Scaffold_3	48967868	48983543	+	ANN04727-RA	Similar to UTP14A: U3 small nucleolar RNA-associated protein 14 homolog A (Bos taurus OX%3D9913)
Scaffold_3	49022714	49024479	+	ANN04728-RA	Protein of unknown function
Scaffold_3	49119339	49134627	+	ANN04729-RA	Similar to R1A1-element\ORF2: Putative 115 kDa protein in type-1 retrotransposable element R1DM (Drosophila melanogaster OX%3D7227)
Scaffold_3	49151012	49205628	+	ANN04730-RA	Similar to Spata13: Spermatogenesis-associated protein 13 (Mus musculus OX%3D10090)
Scaffold_3	49220393	49225759	+	ANN04731-RA	Similar to CG11447: rRNA methyltransferase 2%2C mitochondrial (Drosophila melanogaster OX%3D7227)
Scaffold_3	49227854	49234214	-	ANN04732-RA	Protein of unknown function
Scaffold_3	49405720	49452990	+	ANN04733-RA	Similar to Spata13: Spermatogenesis-associated protein 13 (Mus musculus OX%3D10090)
Scaffold_3	49460685	49463943	+	ANN04734-RA	Similar to CG11447: rRNA methyltransferase 2%2C mitochondrial (Drosophila melanogaster OX%3D7227)
Scaffold_3	49465974	49485047	-	ANN04735-RA	Similar to Venom carboxylesterase-6 (Apis mellifera OX%3D7460)
Scaffold_3	49493294	49501707	-	ANN04736-RA	Similar to R1A1-element\ORF2: Putative 115 kDa protein in type-1 retrotransposable element R1DM (Drosophila melanogaster OX%3D7227)
Scaffold_3	49506240	49524808	+	ANN04737-RA	Similar to ARFGEF3: Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (Homo sapiens OX%3D9606)
Scaffold_3	49531017	49531966	-	ANN04738-RA	Protein of unknown function
Scaffold_3	49627163	49631815	-	ANN04739-RA	Similar to Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 (Fragment) (Bradysia coprophila OX%3D38358)
Scaffold_3	49655821	49677161	+	ANN04740-RA	Similar to Arfgef3: Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (Mus musculus OX%3D10090)
Scaffold_3	49679415	49683632	-	ANN04741-RA	Similar to X-element\ORF2: Probable RNA-directed DNA polymerase from transposon X-element (Drosophila melanogaster OX%3D7227)
Scaffold_3	49684278	49691603	+	ANN04742-RA	Similar to ARFGEF3: Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (Homo sapiens OX%3D9606)
Scaffold_3	49692456	49694389	+	ANN04743-RA	Protein of unknown function
Scaffold_3	49698353	49700009	+	ANN04744-RA	Protein of unknown function
Scaffold_3	49703411	49705956	-	ANN04745-RA	Protein of unknown function
Scaffold_3	49714347	49716859	+	ANN04746-RA	Similar to APOD: Apolipoprotein D (Macaca fascicularis OX%3D9541)
Scaffold_3	49727048	49735618	+	ANN04747-RA	Similar to APOD: Apolipoprotein D (Homo sapiens OX%3D9606)
Scaffold_3	49770236	49793144	-	ANN04748-RA	Similar to Gemin5: Gem-associated protein 5 (Mus musculus OX%3D10090)
Scaffold_3	49799321	49817813	-	ANN04749-RA	Similar to Gpaa1: Glycosylphosphatidylinositol anchor attachment 1 protein (Mus musculus OX%3D10090)
Scaffold_3	49819477	49823248	-	ANN04750-RA	Similar to CFDP2: Craniofacial development protein 2 (Bos taurus OX%3D9913)
Scaffold_3	49827171	49832404	+	ANN04751-RA	Similar to fbxo9: F-box only protein 9 (Danio rerio OX%3D7955)
Scaffold_3	49923901	49936089	-	ANN04752-RA	Similar to Cnot6: CCR4-NOT transcription complex subunit 6 (Rattus norvegicus OX%3D10116)
Scaffold_3	49987153	49992487	-	ANN04754-RA	Similar to CNOT6: CCR4-NOT transcription complex subunit 6 (Homo sapiens OX%3D9606)
Scaffold_3	50046978	50048021	+	ANN04755-RA	Similar to Runx1: Runt-related transcription factor 1 (Rattus norvegicus OX%3D10116)
Scaffold_3	50053268	50056465	+	ANN04756-RA	Protein of unknown function
Scaffold_3	50067191	50074530	-	ANN04757-RA	Protein of unknown function
Scaffold_3	50074533	50076848	-	ANN04758-RA	Protein of unknown function
Scaffold_3	50139399	50144304	+	ANN04759-RA	Similar to R1A1-element\ORF2: Putative 115 kDa protein in type-1 retrotransposable element R1DM (Drosophila melanogaster OX%3D7227)
Scaffold_3	50198119	50201609	-	ANN04760-RA	Similar to run: Segmentation protein Runt (Drosophila melanogaster OX%3D7227)
Scaffold_3	50246708	50264907	+	ANN04761-RA	Similar to RUNX3: Runt-related transcription factor 3 (Homo sapiens OX%3D9606)
Scaffold_3	50268901	50273059	+	ANN04762-RA	Protein of unknown function
Scaffold_3	50275985	50276906	+	ANN04763-RA	Protein of unknown function
Scaffold_3	50389476	50390866	-	ANN04764-RA	Protein of unknown function
Scaffold_3	50409973	50420780	-	ANN04765-RA	Similar to Runx1: Runt-related transcription factor 1 (Rattus norvegicus OX%3D10116)
Scaffold_3	50436125	50440391	-	ANN04766-RA	Similar to PRSS27: Serine protease 27 (Homo sapiens OX%3D9606)
Scaffold_3	50456549	50486549	-	ANN04767-RA	Similar to sw: Cytoplasmic dynein 1 intermediate chain (Drosophila melanogaster OX%3D7227)
Scaffold_3	50497097	50501937	+	ANN04768-RA	Protein of unknown function
Scaffold_3	50504305	50509963	-	ANN04769-RA	Similar to Bora: Protein aurora borealis (Rattus norvegicus OX%3D10116)
Scaffold_3	50507136	50511522	+	ANN04770-RA	Similar to CG14621: Solute carrier family 35 member E1 homolog (Drosophila melanogaster OX%3D7227)
Scaffold_3	50526558	50539719	-	ANN04771-RA	Protein of unknown function
Scaffold_3	50544522	50556223	+	ANN04772-RA	Similar to AGXT2: Alanine--glyoxylate aminotransferase 2%2C mitochondrial (Pongo abelii OX%3D9601)
Scaffold_3	50560316	50581685	-	ANN04773-RA	Similar to p115: General vesicular transport factor p115 (Drosophila melanogaster OX%3D7227)
Scaffold_3	50582904	50585155	-	ANN04774-RA	Similar to USO1: General vesicular transport factor p115 (Homo sapiens OX%3D9606)
Scaffold_3	50585916	50586598	-	ANN04775-RA	Similar to Uso1: General vesicular transport factor p115 (Mus musculus OX%3D10090)
Scaffold_3	50586656	50595678	-	ANN04776-RA	Similar to p115: General vesicular transport factor p115 (Drosophila melanogaster OX%3D7227)
Scaffold_3	50596367	50609905	+	ANN04777-RA	Similar to BTBD9: BTB/POZ domain-containing protein 9 (Bos taurus OX%3D9913)
Scaffold_3	50615813	50642185	+	ANN04778-RA	Similar to pabpc1a: Polyadenylate-binding protein 1A (Danio rerio OX%3D7955)
Scaffold_3	50649346	50652213	+	ANN04779-RA	Similar to tc3a: Transposable element Tc3 transposase (Caenorhabditis elegans OX%3D6239)
Scaffold_3	50663765	50672942	+	ANN04780-RA	Similar to SmydA-8: SET domain-containing protein SmydA-8%2C isoform A (Drosophila melanogaster OX%3D7227)
Scaffold_3	50679994	50693056	-	ANN04781-RA	Protein of unknown function
Scaffold_3	50780694	50793162	+	ANN04782-RA	Similar to EEF1D: Elongation factor 1-delta (Macaca fascicularis OX%3D9541)
Scaffold_3	50847156	50859942	-	ANN04783-RA	Similar to PXYLP1: 2-phosphoxylose phosphatase 1 (Homo sapiens OX%3D9606)
Scaffold_3	50865084	50880751	-	ANN04785-RA	Similar to ccnl2: Cyclin-L2 (Xenopus tropicalis OX%3D8364)
Scaffold_3	51122843	51130417	+	ANN04786-RA	Similar to Diuretic hormone receptor (Acheta domesticus OX%3D6997)
Scaffold_3	51130507	51133446	+	ANN04787-RA	Similar to X-element\ORF2: Probable RNA-directed DNA polymerase from transposon X-element (Drosophila melanogaster OX%3D7227)
Scaffold_3	51176053	51192169	+	ANN04788-RA	Similar to Diuretic hormone receptor (Acheta domesticus OX%3D6997)
Scaffold_3	51239202	51296947	+	ANN04789-RA	Protein of unknown function
Scaffold_3	51311603	51321004	-	ANN04790-RA	Similar to Fbxo28: F-box only protein 28 (Mus musculus OX%3D10090)
Scaffold_3	51326936	51329159	+	ANN04791-RA	Similar to LUC7L3: Luc7-like protein 3 (Pongo abelii OX%3D9601)
Scaffold_3	51358101	51366442	-	ANN04792-RA	Similar to GPR155: Integral membrane protein GPR155 (Pongo abelii OX%3D9601)
Scaffold_3	51393181	51398350	+	ANN04793-RA	Similar to cbc: Protein CLP1 homolog (Drosophila mojavensis OX%3D7230)
Scaffold_3	51483584	51486287	-	ANN04794-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_3	51553705	51555403	+	ANN04795-RA	Similar to pin4: Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (Xenopus tropicalis OX%3D8364)
Scaffold_3	51555492	51557916	+	ANN04796-RA	Similar to MOCOS: Molybdenum cofactor sulfurase (Bos taurus OX%3D9913)
Scaffold_3	51563526	51565430	+	ANN04797-RA	Protein of unknown function
Scaffold_3	51568399	51569897	+	ANN04798-RA	Protein of unknown function
Scaffold_3	51571768	51574318	+	ANN04799-RA	Similar to HSP70A1: Heat shock protein 70 A1 (Anopheles albimanus OX%3D7167)
Scaffold_3	51577033	51581954	+	ANN04800-RA	Similar to ku80: X-ray repair cross-complementing protein 5 (Dictyostelium discoideum OX%3D44689)
Scaffold_3	51609279	51611653	+	ANN04801-RA	Similar to radA: DNA repair and recombination protein RadA (Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827) OX%3D178306)
Scaffold_3	51615548	51619078	+	ANN04802-RA	Similar to pol: Retrovirus-related Pol polyprotein from transposon 17.6 (Drosophila melanogaster OX%3D7227)
Scaffold_3	51631811	51640320	-	ANN04803-RA	Similar to Zfp26: Zinc finger protein 26 (Mus musculus OX%3D10090)
Scaffold_3	51657137	51667894	+	ANN04804-RA	Similar to Phip: PH-interacting protein (Mus musculus OX%3D10090)
Scaffold_3	51672054	51682907	-	ANN04805-RA	Similar to Psmc2: 26S proteasome regulatory subunit 7 (Mus musculus OX%3D10090)
Scaffold_3	51677542	51678972	+	ANN04806-RA	Similar to jockey\pol: RNA-directed DNA polymerase from mobile element jockey (Drosophila funebris OX%3D7221)
Scaffold_3	51684178	51690311	+	ANN04807-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_3	51690589	51691423	+	ANN04808-RA	Similar to TMEM199: Transmembrane protein 199 (Pongo abelii OX%3D9601)
Scaffold_3	51751003	51759618	-	ANN04809-RA	Similar to Trypsin-1 (Astacus astacus OX%3D6715)
Scaffold_3	51766561	51768967	-	ANN04810-RA	Similar to CLIPB4: CLIP domain-containing serine protease 14D (Anopheles gambiae OX%3D7165)
Scaffold_3	51822982	51838849	+	ANN04811-RA	Similar to F10: Coagulation factor X (Rattus norvegicus OX%3D10116)
Scaffold_3	51850297	51854318	+	ANN04812-RA	Similar to Trypsin-1 (Astacus astacus OX%3D6715)
Scaffold_3	51868379	51878081	-	ANN04813-RA	Similar to Gyc89Da: Soluble guanylate cyclase 89Da (Drosophila melanogaster OX%3D7227)
Scaffold_3	51881876	51890798	-	ANN04814-RA	Similar to Gyc89Da: Soluble guanylate cyclase 89Da (Drosophila melanogaster OX%3D7227)
Scaffold_3	51894374	51897741	-	ANN04815-RA	Similar to Gyc89Da: Soluble guanylate cyclase 89Da (Drosophila melanogaster OX%3D7227)
Scaffold_3	51895386	51895997	+	ANN04816-RA	Protein of unknown function
Scaffold_3	51903976	51904413	-	ANN04817-RA	Protein of unknown function
Scaffold_3	51904468	51907121	-	ANN04818-RA	Protein of unknown function
Scaffold_3	51909190	51914555	+	ANN04819-RA	Protein of unknown function
Scaffold_3	51925918	51926582	+	ANN04820-RA	Protein of unknown function
Scaffold_3	51997501	52000370	+	ANN04821-RA	Similar to mttp: Microsomal triglyceride transfer protein large subunit (Danio rerio OX%3D7955)
Scaffold_3	52005979	52020365	+	ANN04822-RA	Similar to mttp: Microsomal triglyceride transfer protein large subunit (Danio rerio OX%3D7955)
Scaffold_3	52098157	52102725	+	ANN04823-RA	Similar to CFDP2: Craniofacial development protein 2 (Bos taurus OX%3D9913)
Scaffold_3	52150060	52153300	+	ANN04824-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_3	52154037	52163973	-	ANN04825-RA	Protein of unknown function
Scaffold_3	52163115	52171632	+	ANN04826-RA	Similar to pol: RNA-directed DNA polymerase from mobile element jockey (Drosophila melanogaster OX%3D7227)
Scaffold_3	52178076	52178402	-	ANN04827-RA	Similar to gdf-8: Growth/differentiation factor 8 (Oreochromis mossambicus OX%3D8127)
Scaffold_3	52182259	52182630	-	ANN04828-RA	Protein of unknown function
Scaffold_3	52250278	52276116	+	ANN04829-RA	Similar to Asap: ArfGAP with SH3 domain%2C ANK repeat and PH domain-containing protein (Drosophila melanogaster OX%3D7227)
Scaffold_3	52252438	52258646	-	ANN04830-RA	Protein of unknown function
Scaffold_3	52282166	52287466	+	ANN04831-RA	Similar to HSDL1: Inactive hydroxysteroid dehydrogenase-like protein 1 (Pongo abelii OX%3D9601)
Scaffold_3	52328924	52329367	-	ANN04832-RA	Protein of unknown function
Scaffold_3	52352415	52355731	-	ANN04833-RA	Similar to pol: RNA-directed DNA polymerase from mobile element jockey (Drosophila melanogaster OX%3D7227)
Scaffold_3	52373206	52388295	-	ANN04834-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_3	52392727	52394723	-	ANN04835-RA	Protein of unknown function
Scaffold_3	52394881	52396184	-	ANN04836-RA	Protein of unknown function
Scaffold_3	52396722	52399751	-	ANN04837-RA	Similar to 110 kDa antigen (Fragment) (Plasmodium knowlesi OX%3D5850)
Scaffold_3	52417999	52426828	-	ANN04838-RA	Similar to pol: RNA-directed DNA polymerase from mobile element jockey (Drosophila melanogaster OX%3D7227)
Scaffold_3	52435626	52440832	+	ANN04839-RA	Similar to Slob: Slowpoke-binding protein (Drosophila melanogaster OX%3D7227)
Scaffold_3	52467329	52485966	+	ANN04840-RA	Similar to SLC17A5: Sialin (Ovis aries OX%3D9940)
Scaffold_3	52488375	52490293	-	ANN04841-RA	Protein of unknown function
Scaffold_3	52502988	52518101	-	ANN04842-RA	Similar to GJ15009: WD repeat-containing protein 48 homolog (Drosophila virilis OX%3D7244)
Scaffold_3	52538032	52541095	+	ANN04844-RA	Similar to MED4: Mediator of RNA polymerase II transcription subunit 4 (Aedes aegypti OX%3D7159)
Scaffold_3	52563055	52564702	+	ANN04845-RA	Protein of unknown function
Scaffold_3	52585557	52604252	-	ANN04846-RA	Similar to glo-4: X-linked retinitis pigmentosa GTPase regulator homolog (Caenorhabditis elegans OX%3D6239)
Scaffold_3	52609178	52640724	+	ANN04847-RA	Similar to NWD2: NACHT and WD repeat domain-containing protein 2 (Homo sapiens OX%3D9606)
Scaffold_3	52646494	52657716	-	ANN04848-RA	Similar to Pax7: Paired box protein Pax-7 (Mus musculus OX%3D10090)
Scaffold_3	52708250	52711096	+	ANN04849-RA	Similar to Ube2j1: Ubiquitin-conjugating enzyme E2 J1 (Mus musculus OX%3D10090)
Scaffold_3	52716037	52720307	-	ANN04850-RA	Protein of unknown function
Scaffold_3	52720462	52720709	-	ANN04851-RA	Protein of unknown function
Scaffold_3	52721437	52766378	-	ANN04852-RA	Similar to ATP13A3: Probable cation-transporting ATPase 13A3 (Homo sapiens OX%3D9606)
Scaffold_3	52746089	52748347	+	ANN04853-RA	Similar to Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Fragment) (Popillia japonica OX%3D7064)
Scaffold_3	52799838	52803283	-	ANN04854-RA	Similar to bol: Protein boule (Drosophila melanogaster OX%3D7227)
Scaffold_3	52811886	52832787	+	ANN04855-RA	Similar to Tace: ADAM 17-like protease (Drosophila melanogaster OX%3D7227)
Scaffold_3	52838931	52839194	+	ANN04856-RA	Protein of unknown function
Scaffold_3	52862818	52873068	-	ANN04857-RA	Similar to spo: Cytochrome P450 307a1 (Drosophila melanogaster OX%3D7227)
Scaffold_3	52897202	52900732	+	ANN04858-RA	Similar to pol: Retrovirus-related Pol polyprotein from transposon 17.6 (Drosophila melanogaster OX%3D7227)
Scaffold_3	52908141	52911945	-	ANN04859-RA	Similar to mindy3: Ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog (Drosophila melanogaster OX%3D7227)
Scaffold_3	52915593	52921816	+	ANN04860-RA	Similar to NCAPD2: Condensin complex subunit 1 (Homo sapiens OX%3D9606)
Scaffold_2	5066	8073	-	ANN04861-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_2	10072	10501	+	ANN04862-RA	Protein of unknown function
Scaffold_2	11367	13328	-	ANN04863-RA	Protein of unknown function
Scaffold_2	22967	26734	-	ANN04864-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_2	29706	33186	+	ANN04865-RA	Protein of unknown function
Scaffold_2	33412	33841	+	ANN04866-RA	Protein of unknown function
Scaffold_2	43205	43912	+	ANN04867-RA	Protein of unknown function
Scaffold_2	46312	53806	+	ANN04868-RA	Protein of unknown function
Scaffold_2	54494	55534	+	ANN04869-RA	Protein of unknown function
Scaffold_2	59741	68305	-	ANN04870-RA	Similar to CG31712: UPF0430 protein CG31712 (Drosophila melanogaster OX%3D7227)
Scaffold_2	68462	69885	+	ANN04871-RA	Similar to F52C9.6: Putative uncharacterized transposon-derived protein F52C9.6 (Caenorhabditis elegans OX%3D6239)
Scaffold_2	79456	86118	+	ANN04872-RA	Similar to Mrpl3: 39S ribosomal protein L3%2C mitochondrial (Rattus norvegicus OX%3D10116)
Scaffold_2	89780	90049	+	ANN04873-RA	Similar to Jph1: Junctophilin-1 (Mus musculus OX%3D10090)
Scaffold_2	142245	145387	-	ANN04874-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_2	145432	146875	-	ANN04875-RA	Protein of unknown function
Scaffold_2	150690	153372	+	ANN04876-RA	Similar to DCUN1D1: DCN1-like protein 1 (Homo sapiens OX%3D9606)
Scaffold_2	162011	179042	-	ANN04877-RA	Similar to Tbc1d20: TBC1 domain family member 20 (Mus musculus OX%3D10090)
Scaffold_2	182495	183001	+	ANN04878-RA	Similar to Arpc4: Actin-related protein 2/3 complex subunit 4 (Mus musculus OX%3D10090)
Scaffold_2	185086	200094	-	ANN04879-RA	Similar to CG7456: Conserved oligomeric Golgi complex subunit 4 (Drosophila melanogaster OX%3D7227)
Scaffold_2	244899	251127	-	ANN04880-RA	Similar to CadN: Neural-cadherin (Drosophila melanogaster OX%3D7227)
Scaffold_2	280469	290824	-	ANN04881-RA	Similar to CadN: Neural-cadherin (Drosophila melanogaster OX%3D7227)
Scaffold_2	298663	311798	+	ANN04882-RA	Similar to pol: Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM (Drosophila melanogaster OX%3D7227)
Scaffold_2	321385	323448	+	ANN04883-RA	Similar to jockey\pol: RNA-directed DNA polymerase from mobile element jockey (Drosophila funebris OX%3D7221)
Scaffold_2	368776	374212	-	ANN04884-RA	Similar to CadN: Neural-cadherin (Drosophila melanogaster OX%3D7227)
Scaffold_2	375516	378089	-	ANN04885-RA	Protein of unknown function
Scaffold_2	414519	415678	+	ANN04886-RA	Similar to CPD: Carboxypeptidase D (Fragment) (Lophonetta specularioides OX%3D75873)
Scaffold_2	430162	433736	-	ANN04887-RA	Similar to X-element\ORF2: Probable RNA-directed DNA polymerase from transposon X-element (Drosophila melanogaster OX%3D7227)
Scaffold_2	440455	440793	+	ANN04888-RA	Similar to MYCBP: c-Myc-binding protein (Homo sapiens OX%3D9606)
Scaffold_2	469192	472002	-	ANN04889-RA	Similar to Retrotransposable element SLACS 132 kDa protein (Trypanosoma brucei gambiense OX%3D31285)
Scaffold_2	485451	489379	-	ANN04890-RA	Similar to X-element\ORF2: Probable RNA-directed DNA polymerase from transposon X-element (Drosophila melanogaster OX%3D7227)
Scaffold_2	509111	512596	+	ANN04891-RA	Similar to X-element\ORF2: Probable RNA-directed DNA polymerase from transposon X-element (Drosophila melanogaster OX%3D7227)
Scaffold_2	536059	540511	+	ANN04892-RA	Similar to R1A1-element\ORF2: Putative 115 kDa protein in type-1 retrotransposable element R1DM (Drosophila melanogaster OX%3D7227)
Scaffold_2	551855	569439	-	ANN04893-RA	Similar to MDC1: Mediator of DNA damage checkpoint protein 1 (Pan troglodytes OX%3D9598)
Scaffold_2	576433	579750	+	ANN04894-RA	Similar to R1A1-element\ORF2: Putative 115 kDa protein in type-1 retrotransposable element R1DM (Drosophila melanogaster OX%3D7227)
Scaffold_2	579905	580159	+	ANN04895-RA	Protein of unknown function
Scaffold_2	591421	601367	+	ANN04896-RA	Protein of unknown function
Scaffold_2	605325	618484	-	ANN04897-RA	Similar to Jph3: Junctophilin-3 (Mus musculus OX%3D10090)
Scaffold_2	626242	627514	+	ANN04898-RA	Protein of unknown function
Scaffold_2	628063	629405	+	ANN04899-RA	Similar to Prdm9: Histone-lysine N-methyltransferase PRDM9 (Mus musculus OX%3D10090)
Scaffold_2	629550	630257	+	ANN04900-RA	Protein of unknown function
Scaffold_2	633517	638564	+	ANN04901-RA	Similar to R1A1-element\ORF2: Putative 115 kDa protein in type-1 retrotransposable element R1DM (Drosophila melanogaster OX%3D7227)
Scaffold_2	638748	642905	+	ANN04902-RA	Similar to Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 (Fragment) (Bradysia coprophila OX%3D38358)
Scaffold_2	643214	645718	+	ANN04903-RA	Protein of unknown function
Scaffold_2	646935	647453	+	ANN04904-RA	Protein of unknown function
Scaffold_2	650558	659033	-	ANN04905-RA	Similar to CG31712: UPF0430 protein CG31712 (Drosophila melanogaster OX%3D7227)
Scaffold_2	656600	660633	+	ANN04906-RA	Similar to F52C9.6: Putative uncharacterized transposon-derived protein F52C9.6 (Caenorhabditis elegans OX%3D6239)
Scaffold_2	666182	675838	-	ANN04907-RA	Similar to pol: Retrovirus-related Pol polyprotein from transposon 17.6 (Drosophila melanogaster OX%3D7227)
Scaffold_2	681697	689094	-	ANN04908-RA	Similar to CFDP2: Craniofacial development protein 2 (Bos taurus OX%3D9913)
Scaffold_2	691550	693883	-	ANN04909-RA	Similar to Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Fragment) (Nasonia vitripennis OX%3D7425)
Scaffold_2	693974	697312	+	ANN04910-RA	Similar to Retrotransposable element SLACS 132 kDa protein (Trypanosoma brucei gambiense OX%3D31285)
Scaffold_2	700979	749636	+	ANN04911-RA	Similar to Jph3: Junctophilin-3 (Mus musculus OX%3D10090)
Scaffold_2	753588	764150	-	ANN04912-RA	Protein of unknown function
Scaffold_2	766029	780544	+	ANN04913-RA	Protein of unknown function
Scaffold_2	780756	789609	+	ANN04914-RA	Similar to pol: Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM (Drosophila melanogaster OX%3D7227)
Scaffold_2	791460	792159	+	ANN04915-RA	Protein of unknown function
Scaffold_2	796839	798960	+	ANN04916-RA	Similar to pol: RNA-directed DNA polymerase from mobile element jockey (Drosophila melanogaster OX%3D7227)
Scaffold_2	801067	812394	-	ANN04917-RA	Similar to PCIF1: mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase (Homo sapiens OX%3D9606)
Scaffold_2	817766	823302	+	ANN04918-RA	Similar to ss18l1: Calcium-responsive transactivator (Xenopus laevis OX%3D8355)
Scaffold_2	828676	830176	-	ANN04919-RA	Similar to cwc15-a: Protein CWC15 homolog A (Xenopus laevis OX%3D8355)
Scaffold_2	830570	830926	+	ANN04920-RA	Protein of unknown function
Scaffold_2	831158	832177	-	ANN04921-RA	Similar to Transposable element Tcb1 transposase (Caenorhabditis briggsae OX%3D6238)
Scaffold_2	832566	836207	+	ANN04922-RA	Similar to Tf2-9: Transposon Tf2-9 polyprotein (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)
Scaffold_2	836752	837454	-	ANN04923-RA	Similar to c12.1: Protein CWC15 homolog (Drosophila melanogaster OX%3D7227)
Scaffold_2	838906	842554	+	ANN04924-RA	Similar to l(2)37Cc: Protein l(2)37Cc (Drosophila melanogaster OX%3D7227)
Scaffold_2	867332	870034	+	ANN04925-RA	Protein of unknown function
Scaffold_2	882010	883697	+	ANN04926-RA	Similar to CadN: Neural-cadherin (Drosophila melanogaster OX%3D7227)
Scaffold_2	885758	890899	-	ANN04927-RA	Protein of unknown function
Scaffold_2	890751	891829	+	ANN04928-RA	Similar to Transposable element Tcb1 transposase (Caenorhabditis briggsae OX%3D6238)
Scaffold_2	1021564	1067468	+	ANN04929-RA	Similar to CadN: Neural-cadherin (Drosophila melanogaster OX%3D7227)
Scaffold_2	1074039	1076971	+	ANN04930-RA	Similar to X-element\ORF2: Probable RNA-directed DNA polymerase from transposon X-element (Drosophila melanogaster OX%3D7227)
Scaffold_2	1198237	1201527	+	ANN04931-RA	Protein of unknown function
Scaffold_2	1229721	1234000	-	ANN04932-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_2	1236255	1236593	-	ANN04933-RA	Similar to MYCBP: c-Myc-binding protein (Homo sapiens OX%3D9606)
Scaffold_2	1243325	1245333	+	ANN04934-RA	Protein of unknown function
Scaffold_2	1245338	1246311	+	ANN04935-RA	Protein of unknown function
Scaffold_2	1261401	1262500	-	ANN04936-RA	Similar to CPD: Carboxypeptidase D (Fragment) (Lophonetta specularioides OX%3D75873)
Scaffold_2	1263462	1268389	-	ANN04937-RA	Similar to svr: Carboxypeptidase D (Drosophila melanogaster OX%3D7227)
Scaffold_2	1281604	1283647	-	ANN04938-RA	Protein of unknown function
Scaffold_2	1289647	1290651	+	ANN04939-RA	Protein of unknown function
Scaffold_2	1318589	1364929	+	ANN04940-RA	Similar to CadN: Neural-cadherin (Drosophila melanogaster OX%3D7227)
Scaffold_2	1371719	1377282	+	ANN04941-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_2	1382193	1417939	+	ANN04942-RA	Similar to CadN: Neural-cadherin (Drosophila melanogaster OX%3D7227)
Scaffold_2	1470088	1473264	+	ANN04944-RA	Similar to Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Fragment) (Popillia japonica OX%3D7064)
Scaffold_2	1560719	1561606	-	ANN04945-RA	Similar to ier5l: Immediate early response gene 5-like protein (Danio rerio OX%3D7955)
Scaffold_2	1577495	1590943	-	ANN04946-RA	Similar to Ift81: Intraflagellar transport protein 81 homolog (Mus musculus OX%3D10090)
Scaffold_2	1592087	1602299	-	ANN04947-RA	Protein of unknown function
Scaffold_2	1628428	1637626	-	ANN04948-RA	Protein of unknown function
Scaffold_2	1646525	1648213	-	ANN04949-RA	Protein of unknown function
Scaffold_2	1671503	1677974	+	ANN04950-RA	Similar to SLC66A2: Solute carrier family 66 member 2 (Homo sapiens OX%3D9606)
